
2024/03/10 (10:26:40) | ===> btop++ v.1.3.2
2024/03/10 (10:26:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/10 (13:11:03) | ===> btop++ v.1.3.2
2024/03/10 (13:11:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/10 (13:13:14) | ===> btop++ v.1.3.2
2024/03/10 (13:13:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/10 (23:28:21) | ===> btop++ v.1.3.2
2024/03/10 (23:28:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/11 (11:26:41) | ===> btop++ v.1.3.2
2024/03/11 (11:26:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/11 (11:53:04) | ===> btop++ v.1.3.2
2024/03/11 (11:53:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/12 (23:52:42) | ===> btop++ v.1.3.2
2024/03/12 (23:52:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (11:20:47) | ===> btop++ v.1.3.2
2024/05/26 (11:20:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
